Z,LinearOutBot (Lambda1),LinearOutTop (Lambda1),LinearOutBot (Lambda2),LinearOutTop (Lambda2)
2380,0.4755274,0.4787766,0.3057181,0.6356671
2400,0.5496472,0.4067633,0.3923774,0.5457861
2420,0.6199112,0.3358636,0.4825097,0.4553102
2440,0.6879862,0.2688793,0.5722242,0.3661318
2460,0.7513426,0.2065895,0.6589642,0.2803202
2480,0.808061,0.1505506,0.7379593,0.2015604
2500,0.8569869,0.1016536,0.8082612,0.1333031
2520,0.8992446,0.06184308,0.8674953,0.0767202
2540,0.9299075,0.03068192,0.9146228,0.03528894
2560,0.9533292,0.0110541,,
2580,,,,
