
VG= 0 to 1 in 0,01 step
VD= 0,1 to 1 in 0,9 step
NO, VG ID IG VD
 V A A V
1 0 -1,03E-12 2,7E-13 0,1
2 0,01 8,4E-13 -7,63E-12 0,1
3 0,02 -2,5E-12 -8,88E-12 0,1
4 0,03 4,58E-12 2,805E-11 0,1
5 0,04 2,5E-13 2,95E-12 0,1
6 0,05 -2,72E-12 -6,79E-12 0,1
7 0,06 3,23E-12 2,27E-12 0,1
8 0,07 3,3E-13 -1,53E-12 0,1
9 0,08 -4,35E-12 -3,9E-12 0,1
10 0,09 7,02E-12 -3,53E-12 0,1
11 0,1 -1,052E-11 -1,205E-11 0,1
12 0,11 1,001E-11 2,237E-11 0,1
13 0,12 -3,16E-12 -5,3E-13 0,1
14 0,13 2,37E-12 -4,43E-12 0,1
15 0,14 5,7E-13 2,2E-13 0,1
16 0,15 9,6E-12 4,5E-12 0,1
17 0,16 -3,74E-12 7,6E-13 0,1
18 0,17 1,669E-11 2,764E-11 0,1
19 0,18 6,42E-12 8,97E-12 0,1
20 0,19 1,731E-11 -5,12E-12 0,1
21 0,2 2,605E-11 1,988E-11 0,1
22 0,21 3,769E-11 1,972E-11 0,1
23 0,22 5,085E-11 2,177E-11 0,1
24 0,23 8,374E-11 2,748E-11 0,1
25 0,24 1,1553E-10 4,201E-11 0,1
26 0,25 1,6908E-10 3,276E-11 0,1
27 0,26 2,5038E-10 4,847E-11 0,1
28 0,27 3,522E-10 5,78E-11 0,1
29 0,28 5,173E-10 7,182E-11 0,1
30 0,29 7,3271E-10 8,19E-11 0,1
31 0,3 1,05475E-09 9,678E-11 0,1
32 0,31 1,4989E-09 1,0978E-10 0,1
33 0,32 2,1262E-09 1,2378E-10 0,1
34 0,33 3,0006E-09 1,4906E-10 0,1
35 0,34 4,2089E-09 1,6825E-10 0,1
36 0,35 5,8391E-09 1,9024E-10 0,1
37 0,36 8,057E-09 2,1518E-10 0,1
38 0,37 1,0975E-08 2,4006E-10 0,1
39 0,38 1,4822E-08 2,7171E-10 0,1
40 0,39 1,9731E-08 3,0532E-10 0,1
41 0,4 2,5979E-08 3,3903E-10 0,1
42 0,41 3,3736E-08 3,8204E-10 0,1
43 0,42 4,324E-08 4,2283E-10 0,1
44 0,43 5,4685E-08 4,6967E-10 0,1
45 0,44 6,814E-08 5,1681E-10 0,1
46 0,45 8,3916E-08 5,7286E-10 0,1
47 0,46 1,01923E-07 6,2558E-10 0,1
48 0,47 1,2248E-07 6,7834E-10 0,1
49 0,48 1,4519E-07 7,4019E-10 0,1
50 0,49 1,7043E-07 8,0721E-10 0,1
51 0,5 1,9813E-07 8,7972E-10 0,1
52 0,51 2,2784E-07 9,5088E-10 0,1
53 0,52 2,5983E-07 1,0309E-09 0,1
54 0,53 2,9365E-07 1,1168E-09 0,1
55 0,54 3,2959E-07 1,2085E-09 0,1
56 0,55 3,6712E-07 1,3106E-09 0,1
57 0,56 4,0621E-07 1,4236E-09 0,1
58 0,57 4,4668E-07 1,5389E-09 0,1
59 0,58 4,8843E-07 1,6655E-09 0,1
60 0,59 5,3176E-07 1,8044E-09 0,1
61 0,6 5,7545E-07 1,947E-09 0,1
62 0,61 6,2072E-07 2,1064E-09 0,1
63 0,62 6,6644E-07 2,2761E-09 0,1
64 0,63 7,129E-07 2,4564E-09 0,1
65 0,64 7,6001E-07 2,648E-09 0,1
66 0,65 8,0818E-07 2,8564E-09 0,1
67 0,66 8,5673E-07 3,0742E-09 0,1
68 0,67 9,0547E-07 3,3051E-09 0,1
69 0,68 9,5513E-07 3,5519E-09 0,1
70 0,69 1,00489E-06 3,8175E-09 0,1
71 0,7 1,05517E-06 4,1014E-09 0,1
72 0,71 1,10556E-06 4,3931E-09 0,1
73 0,72 1,157E-06 4,7215E-09 0,1
74 0,73 1,2073E-06 5,0514E-09 0,1
75 0,74 1,2587E-06 5,4086E-09 0,1
76 0,75 1,3109E-06 5,7802E-09 0,1
77 0,76 1,3621E-06 6,1843E-09 0,1
78 0,77 1,4143E-06 6,5978E-09 0,1
