
VD= 0 to 1 in 0.01 step
VG= 0 to 1 in 0.2 step
NO. VG ID IG VD
 V A A V
127 0.2 7.0546E-06 4.9266E-07 0.25
128 0.2 7.3897E-06 4.9151E-07 0.26
129 0.2 7.7664E-06 4.9037E-07 0.27
130 0.2 8.1099E-06 4.8832E-07 0.28
131 0.2 8.4684E-06 4.8456E-07 0.29
132 0.2 8.8303E-06 4.8179E-07 0.3
133 0.2 9.1638E-06 4.7462E-07 0.31
134 0.2 9.5369E-06 4.7571E-07 0.32
135 0.2 9.8913E-06 4.8068E-07 0.33
136 0.2 1.02944E-05 4.6805E-07 0.34
137 0.2 1.06996E-05 4.6501E-07 0.35
138 0.2 1.10803E-05 4.6226E-07 0.36
139 0.2 1.1484E-05 4.6E-07 0.37
140 0.2 1.1926E-05 4.6E-07 0.38
141 0.2 1.2341E-05 4.5618E-07 0.39
142 0.2 1.2769E-05 4.5256E-07 0.4
143 0.2 1.3199E-05 4.4848E-07 0.41
144 0.2 1.3629E-05 4.4604E-07 0.42
145 0.2 1.4071E-05 4.3538E-07 0.43
146 0.2 1.4513E-05 4.3124E-07 0.44
147 0.2 1.4975E-05 4.3264E-07 0.45
148 0.2 1.5437E-05 4.3027E-07 0.46
149 0.2 1.5899E-05 4.2809E-07 0.47
150 0.2 1.639E-05 4.2111E-07 0.48
151 0.2 1.6864E-05 4.2749E-07 0.49
152 0.2 1.7344E-05 4.111E-07 0.5
153 0.2 1.7848E-05 4.1294E-07 0.51
154 0.2 1.8319E-05 4.0342E-07 0.52
155 0.2 1.882E-05 3.9672E-07 0.53
156 0.2 1.9396E-05 3.9054E-07 0.54
157 0.2 1.9894E-05 3.8655E-07 0.55
158 0.2 2.0438E-05 3.7357E-07 0.56
159 0.2 2.1006E-05 3.6754E-07 0.57
160 0.2 2.1604E-05 3.5933E-07 0.58
161 0.2 2.2103E-05 3.5573E-07 0.59
162 0.2 2.267E-05 3.4607E-07 0.6
163 0.2 2.3214E-05 3.3665E-07 0.61
164 0.2 2.3814E-05 3.2902E-07 0.62
165 0.2 2.4372E-05 3.1785E-07 0.63
166 0.2 2.4991E-05 3.1136E-07 0.64
167 0.2 2.5562E-05 3.0807E-07 0.65
168 0.2 2.6218E-05 3.0134E-07 0.66
169 0.2 2.6888E-05 2.8597E-07 0.67
170 0.2 2.7482E-05 2.748E-07 0.68
171 0.2 2.8165E-05 2.596E-07 0.69
172 0.2 2.8869E-05 2.569E-07 0.7
173 0.2 2.951E-05 2.4759E-07 0.71
174 0.2 3.0174E-05 2.4446E-07 0.72
175 0.2 3.0787E-05 2.233E-07 0.73
176 0.2 3.1492E-05 2.1359E-07 0.74
177 0.2 3.211E-05 2.0852E-07 0.75
178 0.2 3.2896E-05 1.9158E-07 0.76
179 0.2 3.381E-05 1.804E-07 0.77
180 0.2 3.4506E-05 1.6853E-07 0.78
181 0.2 3.52E-05 1.9044E-07 0.79
182 0.2 3.5714E-05 1.7863E-07 0.8
183 0.2 3.6841E-05 1.5709E-07 0.81
184 0.2 3.7641E-05 1.5536E-07 0.82
185 0.2 3.8503E-05 1.2485E-07 0.83
186 0.2 3.9178E-05 1.0456E-07 0.84
187 0.2 4.0145E-05 9.8292E-08 0.85
188 0.2 4.1035E-05 7.3267E-08 0.86
189 0.2 4.1911E-05 5.205E-08 0.87
190 0.2 4.2556E-05 3.6947E-08 0.88
191 0.2 4.3829E-05 1.6038E-08 0.89
192 0.2 4.4862E-05 -5.269E-09 0.9
193 0.2 4.5746E-05 -5.0185E-08 0.91
194 0.2 4.6935E-05 -5.3925E-08 0.92
195 0.2 4.776E-05 -9.1221E-08 0.93
196 0.2 4.8848E-05 -1.13907E-07 0.94
197 0.2 5.0081E-05 -2.1594E-07 0.95
198 0.2 5.0836E-05 -2.5842E-07 0.96
199 0.2 5.2036E-05 -2.9279E-07 0.97
200 0.2 5.4172E-05 -3.7007E-07 0.98
201 0.2 5.5159E-05 -3.9676E-07 0.99
202 0.2 5.6614E-05 -4.2495E-07 1
203 0.4 -2.4626E-07 1.6915E-06 0
204 0.4 3.1149E-06 1.6823E-06 0.01
205 0.4 6.0857E-06 1.6752E-06 0.02
206 0.4 8.7625E-06 1.6576E-06 0.03
207 0.4 1.10625E-05 1.6414E-06 0.04
208 0.4 1.3172E-05 1.6388E-06 0.05
209 0.4 1.5026E-05 1.6406E-06 0.06
210 0.4 1.6757E-05 1.6381E-06 0.07
211 0.4 1.824E-05 1.6176E-06 0.08
212 0.4 1.9611E-05 1.6143E-06 0.09
213 0.4 2.0901E-05 1.6042E-06 0.1
214 0.4 2.2137E-05 1.5894E-06 0.11
215 0.4 2.3257E-05 1.5854E-06 0.12
216 0.4 2.4412E-05 1.5856E-06 0.13
217 0.4 2.5452E-05 1.566E-06 0.14
218 0.4 2.6319E-05 1.7442E-06 0.15
219 0.4 2.7376E-05 1.5518E-06 0.16
220 0.4 2.8333E-05 1.5475E-06 0.17
221 0.4 2.9262E-05 1.5401E-06 0.18
222 0.4 3.0145E-05 1.5336E-06 0.19
