
VG= 0 to 1 in 0,01 step
VD= 0,1 to 1 in 0,9 step
NO, VG ID IG VD
 V A A V
1 0 6,0452E-10 -8,19E-12 0,1
2 0,01 8,2534E-10 -3,52E-12 0,1
3 0,02 1,12896E-09 5,58E-12 0,1
4 0,03 1,5366E-09 5,77E-12 0,1
5 0,04 2,1052E-09 -8,31E-12 0,1
6 0,05 2,8562E-09 -8,9E-12 0,1
7 0,06 3,8817E-09 -2,25E-12 0,1
8 0,07 5,2647E-09 -1,46E-12 0,1
9 0,08 7,1779E-09 3,74E-12 0,1
10 0,09 9,7515E-09 3,83E-12 0,1
11 0,1 1,3183E-08 -5,82E-12 0,1
12 0,11 1,7983E-08 5,24E-12 0,1
13 0,12 2,4197E-08 8,65E-12 0,1
14 0,13 3,2674E-08 3,7E-12 0,1
15 0,14 4,4121E-08 1,48E-12 0,1
16 0,15 5,9605E-08 -2,41E-12 0,1
17 0,16 7,9712E-08 -3,24E-12 0,1
18 0,17 1,07357E-07 -4,24E-12 0,1
19 0,18 1,4457E-07 -6,2E-13 0,1
20 0,19 1,9193E-07 -5,95E-12 0,1
21 0,2 2,5705E-07 -3,5E-13 0,1
22 0,21 3,4134E-07 -5,23E-12 0,1
23 0,22 4,5552E-07 -2,93E-12 0,1
24 0,23 5,9673E-07 1,15E-11 0,1
25 0,24 7,8605E-07 3,16E-12 0,1
26 0,25 1,02782E-06 -6,17E-12 0,1
27 0,26 1,3305E-06 -4,2E-12 0,1
28 0,27 1,7195E-06 3,11E-12 0,1
29 0,28 2,2068E-06 8,47E-12 0,1
30 0,29 2,8226E-06 -1,18E-12 0,1
31 0,3 3,5622E-06 -1,71E-12 0,1
32 0,31 4,4873E-06 2,22E-12 0,1
33 0,32 5,5779E-06 8,22E-12 0,1
34 0,33 6,9114E-06 5,4E-12 0,1
35 0,34 8,4567E-06 -3,5E-12 0,1
36 0,35 1,02406E-05 8,31E-12 0,1
37 0,36 1,232E-05 -4,75E-12 0,1
38 0,37 1,468E-05 -8,53E-12 0,1
39 0,38 1,7288E-05 4,46E-12 0,1
40 0,39 2,0369E-05 4,14E-12 0,1
41 0,4 2,344E-05 -5,12E-12 0,1
42 0,41 2,707E-05 1,128E-11 0,1
43 0,42 3,0835E-05 6,88E-12 0,1
44 0,43 3,5203E-05 7,43E-12 0,1
45 0,44 3,9427E-05 3,77E-12 0,1
46 0,45 4,4327E-05 -1,115E-11 0,1
47 0,46 4,8628E-05 3,683E-11 0,1
48 0,47 5,38E-05 -4,511E-11 0,1
49 0,48 5,9236E-05 1,976E-11 0,1
50 0,49 6,4643E-05 3,043E-11 0,1
51 0,5 7,0195E-05 -2,725E-11 0,1
52 0,51 7,5622E-05 2,56E-11 0,1
53 0,52 8,1312E-05 1,683E-11 0,1
54 0,53 8,7023E-05 -4,54E-12 0,1
55 0,54 9,2823E-05 1,647E-11 0,1
56 0,55 9,8648E-05 1,62E-12 0,1
57 0,56 0,000104612 1,161E-11 0,1
58 0,57 0,000110776 2,87E-12 0,1
59 0,58 0,00011636 1E-11 0,1
60 0,59 0,00012227 1,447E-11 0,1
61 0,6 0,00012804 3,3E-12 0,1
62 0,61 0,00013394 4,61E-12 0,1
63 0,62 0,00013977 1,789E-11 0,1
64 0,63 0,00014545 -5,48E-12 0,1
65 0,64 0,00015104 6,11E-12 0,1
66 0,65 0,00015655 1,649E-11 0,1
67 0,66 0,00016231 7,36E-12 0,1
68 0,67 0,00016756 1,37E-11 0,1
69 0,68 0,00017288 1,91E-11 0,1
70 0,69 0,00017853 1,547E-11 0,1
71 0,7 0,00018375 1,287E-11 0,1
72 0,71 0,00018886 2,183E-11 0,1
73 0,72 0,00019391 1,599E-11 0,1
74 0,73 0,00019909 1,598E-11 0,1
75 0,74 0,00020397 2,198E-11 0,1
76 0,75 0,00020899 2,014E-11 0,1
77 0,76 0,00021381 1,833E-11 0,1
78 0,77 0,0002185 1,745E-11 0,1
79 0,78 0,00022302 2,392E-11 0,1
80 0,79 0,00022779 2,805E-11 0,1
81 0,8 0,00023237 2,883E-11 0,1
82 0,81 0,00023666 4,182E-11 0,1
83 0,82 0,00024106 4,042E-11 0,1
84 0,83 0,0002456 3,609E-11 0,1
85 0,84 0,00024944 4,013E-11 0,1
86 0,85 0,00025378 4,107E-11 0,1
87 0,86 0,00025789 4,332E-11 0,1
88 0,87 0,00026198 4,988E-11 0,1
89 0,88 0,00026569 4,908E-11 0,1
90 0,89 0,00026987 5,35E-11 0,1
91 0,9 0,00027374 5,849E-11 0,1
92 0,91 0,00027774 6,614E-11 0,1
93 0,92 0,0002812 7,37E-11 0,1
94 0,93 0,00028473 7,509E-11 0,1
95 0,94 0,00028829 7,842E-11 0,1
96 0,95 0,00029191 8,522E-11 0,1
97 0,96 0,00029541 8,817E-11 0,1
98 0,97 0,00029864 9,86E-11 0,1
99 0,98 0,00030182 1,1036E-10 0,1
100 0,99 0,00030463 1,1248E-10 0,1
101 1 0,0003079 1,2E-10 0,1
102 0 2,7219E-09 -7,02E-12 1
103 0,01 3,6895E-09 -1,191E-11 1
104 0,02 5,0258E-09 -5,39E-12 1
105 0,03 6,8204E-09 -2,36E-12 1
106 0,04 9,2822E-09 -1,285E-11 1
107 0,05 1,2632E-08 -1,01E-12 1
108 0,06 1,7124E-08 -3,15E-12 1
109 0,07 2,3085E-08 -2,15E-12 1
110 0,08 3,1284E-08 1,27E-12 1
111 0,09 4,233E-08 5,82E-12 1
112 0,1 5,7104E-08 -6,04E-12 1
113 0,11 7,6771E-08 -6,1E-12 1
114 0,12 1,02833E-07 -7,05E-12 1
115 0,13 1,3765E-07 -1,84E-12 1
116 0,14 1,8462E-07 -4,78E-12 1
117 0,15 2,4702E-07 -3,94E-12 1
118 0,16 3,2778E-07 -7,21E-12 1
119 0,17 4,3167E-07 -6,94E-12 1
120 0,18 5,6855E-07 -3,62E-12 1
121 0,19 7,4222E-07 1,14E-12 1
122 0,2 9,6834E-07 3,26E-12 1
123 0,21 1,2606E-06 -3,48E-12 1
124 0,22 1,6198E-06 -5,8E-12 1
125 0,23 2,08E-06 -3,86E-12 1
