
VG= 0 to 1 in 0,01 step
VD= 0,1 to 1 in 0,9 step
NO, VG ID IG VD
114 0,12 6,8778E-05 -1,1614E-06 1
115 0,13 6,877E-05 -1,1002E-06 1
116 0,14 6,8247E-05 -1,0617E-06 1
117 0,15 6,8544E-05 -6,394E-07 1
118 0,16 6,7822E-05 -5,0144E-07 1
119 0,17 6,8632E-05 -4,6635E-07 1
120 0,18 6,9548E-05 -3,9034E-07 1
121 0,19 6,9274E-05 -3,4749E-07 1
122 0,2 6,9274E-05 -2,4612E-07 1
123 0,21 6,9448E-05 -9,554E-08 1
124 0,22 7,0743E-05 -4,2694E-08 1
125 0,23 7,0659E-05 4,5329E-08 1
126 0,24 7,1411E-05 -2,8371E-08 1
127 0,25 6,7952E-05 1,9913E-07 1
128 0,26 6,9182E-05 3,502E-07 1
129 0,27 6,9993E-05 3,3664E-07 1
130 0,28 7,1273E-05 3,8903E-07 1
131 0,29 7,4185E-05 5,0821E-07 1
132 0,3 7,6724E-05 5,2159E-07 1
133 0,31 7,9672E-05 6,6189E-07 1
134 0,32 8,3026E-05 7,276E-07 1
135 0,33 8,6177E-05 7,9144E-07 1
136 0,34 9,0761E-05 9,3208E-07 1
137 0,35 9,4379E-05 1,02098E-06 1
138 0,36 9,8077E-05 1,0135E-06 1
139 0,37 0,000103108 1,1494E-06 1
140 0,38 0,000109064 1,1962E-06 1
141 0,39 0,00011562 1,3006E-06 1
142 0,4 0,00012243 1,4699E-06 1
143 0,41 0,00012827 1,4873E-06 1
144 0,42 0,00013535 1,5602E-06 1
145 0,43 0,00014276 1,6618E-06 1
146 0,44 0,00015162 1,727E-06 1
147 0,45 0,00016183 1,9263E-06 1
148 0,46 0,00017024 1,932E-06 1
149 0,47 0,00017946 2,1077E-06 1
150 0,48 0,00018967 2,1646E-06 1
151 0,49 0,00020005 2,3689E-06 1
152 0,5 0,00021047 2,3588E-06 1
153 0,51 0,00022075 2,7923E-06 1
154 0,52 0,00023294 2,6451E-06 1
155 0,53 0,00024442 2,7654E-06 1
156 0,54 0,00025574 3,0991E-06 1
157 0,55 0,00026714 3,2173E-06 1
158 0,56 0,0002793 3,37E-06 1
159 0,57 0,00029235 3,3507E-06 1
160 0,58 0,00030471 3,7632E-06 1
161 0,59 0,00031665 3,9047E-06 1
162 0,6 0,00032877 3,9551E-06 1
163 0,61 0,00034191 4,1666E-06 1
164 0,62 0,0003554 4,1466E-06 1
165 0,63 0,00036753 4,4001E-06 1
166 0,64 0,00038127 5,3298E-06 1
167 0,65 0,0003935 5,3254E-06 1
168 0,66 0,00040826 5,5297E-06 1
169 0,67 0,00042142 5,9869E-06 1
170 0,68 0,00043503 6,0027E-06 1
171 0,69 0,0004478 6,2008E-06 1
172 0,7 0,00046252 6,3816E-06 1
173 0,71 0,00047558 6,6027E-06 1
174 0,72 0,00048889 7,1109E-06 1
175 0,73 0,00050371 6,9906E-06 1
176 0,74 0,00051764 7,6052E-06 1
177 0,75 0,00053148 8,0147E-06 1
178 0,76 0,00054378 7,4607E-06 1
179 0,77 0,00055721 7,695E-06 1
180 0,78 0,00056968 9,4681E-06 1
181 0,79 0,00058431 9,6186E-06 1
182 0,8 0,00059712 1,0155E-05 1
183 0,81 0,00061066 1,06044E-05 1
184 0,82 0,00062377 1,04099E-05 1
185 0,83 0,00063685 1,11063E-05 1
186 0,84 0,00064904 1,1776E-05 1
187 0,85 0,00066206 1,2065E-05 1
188 0,86 0,00067381 1,2859E-05 1
189 0,87 0,00068618 1,4235E-05 1
190 0,88 0,0006992 1,4231E-05 1
191 0,89 0,00071166 1,5413E-05 1
192 0,9 0,00072481 1,5679E-05 1
193 0,91 0,00073724 1,587E-05 1
194 0,92 0,00074822 1,5156E-05 1
195 0,93 0,0007595 1,5568E-05 1
196 0,94 0,00077433 1,5231E-05 1
197 0,95 0,00078736 1,5395E-05 1
198 0,96 0,00079914 1,5862E-05 1
199 0,97 0,00081044 1,6578E-05 1
200 0,98 0,00082474 1,5515E-05 1
201 0,99 0,00083647 1,6548E-05 1
202 1 0,00084638 1,7829E-05 1
