
VG= 0 to 1 in 0,01 step
VD= 0,1 to 1 in 0,9 step
NO, VG ID IG VD
 V A A V
1 0 1,0977E-05 -4,8971E-08 0,1
2 0,01 1,0983E-05 -1,5575E-08 0,1
3 0,02 1,0973E-05 1,6051E-08 0,1
4 0,03 1,0976E-05 4,823E-08 0,1
5 0,04 1,0997E-05 8,3388E-08 0,1
6 0,05 1,0978E-05 1,0904E-07 0,1
7 0,06 1,0972E-05 1,4083E-07 0,1
8 0,07 1,0964E-05 1,7727E-07 0,1
9 0,08 1,0955E-05 2,1222E-07 0,1
10 0,09 1,0953E-05 2,4415E-07 0,1
11 0,1 1,0965E-05 2,7828E-07 0,1
12 0,11 1,0982E-05 3,0728E-07 0,1
13 0,12 1,0988E-05 3,5736E-07 0,1
14 0,13 1,0996E-05 3,8803E-07 0,1
15 0,14 1,1005E-05 4,3001E-07 0,1
16 0,15 1,1023E-05 4,6052E-07 0,1
17 0,16 1,1039E-05 5,108E-07 0,1
18 0,17 1,1069E-05 5,2779E-07 0,1
19 0,18 1,1125E-05 5,7209E-07 0,1
20 0,19 1,117E-05 6,3632E-07 0,1
21 0,2 1,1241E-05 6,5834E-07 0,1
22 0,21 1,1338E-05 7,1763E-07 0,1
23 0,22 1,1449E-05 7,6443E-07 0,1
24 0,23 1,1606E-05 8,404E-07 0,1
25 0,24 1,1795E-05 8,4386E-07 0,1
26 0,25 1,2025E-05 9,3568E-07 0,1
27 0,26 1,2311E-05 9,8249E-07 0,1
28 0,27 1,2658E-05 1,03747E-06 0,1
29 0,28 1,309E-05 1,10238E-06 0,1
30 0,29 1,3637E-05 1,1658E-06 0,1
31 0,3 1,4249E-05 1,2395E-06 0,1
32 0,31 1,5004E-05 1,3056E-06 0,1
33 0,32 1,5905E-05 1,3564E-06 0,1
34 0,33 1,6959E-05 1,4483E-06 0,1
35 0,34 1,8197E-05 1,5184E-06 0,1
36 0,35 1,9589E-05 1,5926E-06 0,1
37 0,36 2,1119E-05 1,6749E-06 0,1
38 0,37 2,2869E-05 1,763E-06 0,1
39 0,38 2,4911E-05 1,8493E-06 0,1
40 0,39 2,7143E-05 1,9463E-06 0,1
41 0,4 2,9535E-05 2,0399E-06 0,1
42 0,41 3,2141E-05 2,1306E-06 0,1
43 0,42 3,4981E-05 2,2639E-06 0,1
44 0,43 3,8036E-05 2,3811E-06 0,1
45 0,44 4,1328E-05 2,4845E-06 0,1
46 0,45 4,4884E-05 2,6039E-06 0,1
47 0,46 4,8516E-05 2,7365E-06 0,1
48 0,47 5,242E-05 2,8596E-06 0,1
49 0,48 5,6385E-05 2,99E-06 0,1
50 0,49 6,0674E-05 3,1374E-06 0,1
51 0,5 6,5101E-05 3,2946E-06 0,1
52 0,51 6,9507E-05 3,415E-06 0,1
53 0,52 7,4008E-05 3,613E-06 0,1
54 0,53 7,8791E-05 3,7737E-06 0,1
55 0,54 8,3624E-05 3,929E-06 0,1
56 0,55 8,837E-05 4,1115E-06 0,1
57 0,56 9,3304E-05 4,2749E-06 0,1
58 0,57 9,8272E-05 4,4873E-06 0,1
59 0,58 0,00010291 4,6711E-06 0,1
60 0,59 0,000108069 4,8738E-06 0,1
61 0,6 0,000112763 5,1012E-06 0,1
62 0,61 0,00011754 5,3112E-06 0,1
63 0,62 0,00012261 5,4905E-06 0,1
64 0,63 0,00012751 5,7754E-06 0,1
65 0,64 0,0001323 5,9945E-06 0,1
66 0,65 0,0001371 6,2971E-06 0,1
67 0,66 0,00014181 6,5706E-06 0,1
68 0,67 0,00014668 6,8366E-06 0,1
69 0,68 0,0001512 7,1245E-06 0,1
70 0,69 0,00015574 7,3886E-06 0,1
71 0,7 0,00016016 7,7122E-06 0,1
72 0,71 0,00016465 8,0496E-06 0,1
73 0,72 0,00016918 8,3385E-06 0,1
74 0,73 0,00017348 8,7925E-06 0,1
75 0,74 0,0001777 9,1303E-06 0,1
76 0,75 0,00018192 9,5927E-06 0,1
77 0,76 0,00018635 1,01253E-05 0,1
78 0,77 0,00019021 1,0465E-05 0,1
79 0,78 0,00019433 1,0939E-05 0,1
80 0,79 0,00019832 1,1332E-05 0,1
81 0,8 0,00020201 1,1776E-05 0,1
82 0,81 0,00020585 1,2539E-05 0,1
83 0,82 0,00020963 1,2577E-05 0,1
84 0,83 0,00021332 1,348E-05 0,1
85 0,84 0,00021662 1,3813E-05 0,1
86 0,85 0,00022044 1,4578E-05 0,1
87 0,86 0,00022404 1,5088E-05 0,1
88 0,87 0,00022721 1,5716E-05 0,1
89 0,88 0,0002306 1,6558E-05 0,1
90 0,89 0,00023352 1,7311E-05 0,1
91 0,9 0,00023694 1,795E-05 0,1
92 0,91 0,00024054 1,7E-05 0,1
93 0,92 0,00024385 1,56E-05 0,1
94 0,93 0,00024607 2,0575E-05 0,1
95 0,94 0,00024877 2,1433E-05 0,1
96 0,95 0,00025118 2,2918E-05 0,1
97 0,96 0,00025414 2,2104E-05 0,1
98 0,97 0,00025732 2,3029E-05 0,1
99 0,98 0,00026016 2,3475E-05 0,1
100 0,99 0,00026225 2,408E-05 0,1
101 1 0,00026469 2,5575E-05 0,1
102 0 7,4542E-05 -2,3473E-06 1
103 0,01 7,1278E-05 -2,5467E-06 1
104 0,02 7,2633E-05 -2,7152E-06 1
105 0,03 7,1468E-05 -2,2436E-06 1
106 0,04 7,2135E-05 -1,9291E-06 1
107 0,05 7,0342E-05 -1,7103E-06 1
108 0,06 6,9626E-05 -2,1658E-06 1
109 0,07 6,9367E-05 -1,7566E-06 1
110 0,08 6,9278E-05 -1,8547E-06 1
111 0,09 7,0339E-05 -1,2542E-06 1
112 0,1 6,9374E-05 -1,2971E-06 1
113 0,11 6,8756E-05 -1,3565E-06 1
